name,path,P0,Delta_P,T,tr,run_time,spinup_time,output_dt,cycles,nested,sawtooth,inv_sawtooth,tc,t_som,som_mag,Delta_v,notes
Yellowstone_Run193,Runs/run193,100000,15000,10,0.01,638,500,0.1,3,0,0,1,4.50455468569525,0,0.375242128879862,33.412797787667,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Maxwell rheology. Inner eta_CR = 6.308E16 Pa*s. Outer CR eta_CR = 1.2616E16 Pa*s. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)"
Yellowstone_Run194,Runs/run194,100000,15000,10,0.005,638,500,0.1,3,0,0,1,4.54658405645706,0,0.613965296497722,33.9962403919396,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Maxwell rheology. Inner eta_CR = 6.308E16 Pa*s. Outer CR eta_CR = 6.308E15 Pa*s. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)"
Yellowstone_Run195,Runs/run195,100000,23000,10,0.001,638,500,0.1,3,0,0,1,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 1.2616E16 eta_2 = 1.2616E15 Pa*2. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)",,,,
Yellowstone_Run191_run2,Runs/run191_run2,100000,23000,10,0.005,638,500,0.1,3,0,0,1,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 5.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 6.308E16 eta_2 = 6.308E15 Pa*2. Identical to run191 but with finer mesh and asthenosphere",,,,
Yellowstone_Run181_run4,Runs/run181_run4,100000,15000,10,0.01,638,500,0.1,3,0,0,1,5.85654963502128,0,0,39.7741638589354,"Finer mesh, identical to run181_run3 otherwise"
Yellowstone_Run196,Runs/run196,100000,23000,10,0.005,638,500,0.1,3,0,0,1,5.88203735288696,0,0,36.4193004035585,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 5.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 3.154E16 eta_2 = 6.308E15 Pa*2. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)"
Yellowstone_Run197,Runs/run197,100000,23000,10,0.0025,638,500,0.1,3,0,0,1,5.99149344626547,0,0,35.9662607716777,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 5.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 6.308E16 eta_2 = 3.154E15 Pa*2. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)"
Yellowstone_Run198,Runs/run198,100000,23000,10,0.005,638,500,0.1,3,0,0,1,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 5.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 1.2616E16 eta_2 = 6.308E15 Pa*2. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)",,,,
Yellowstone_Run196_run2,Runs/run196_run2,100000,34000,10,0.005,638,500,0.1,3,0,0,1,5.88203735288696,0,0,36.4193004035585,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 5.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 3.154E16 eta_2 = 6.308E15 Pa*2. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)"
Yellowstone_Run199,Runs/run199,100000,34000,10,0.005,638,500,0.1,3,0,0,1,5.88203735288696,0,0,36.4193004035585,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 5.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities in inner CR, Maxwell outer. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 1.2616E16 Pa*s. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)"
Yellowstone_Run192_run2,Runs/run192_run2,100000,23000,10,0.05,638,500,0.1,3,0,0,1,4.48414718324467,0,0.539663495891446,65.1028534823695,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. CR extent 2-28 km. CR shift (-5, -0.75)km.  MAxwell rheology. eta_CR=6.308E16 Pa*s. No asthenosphere, domain depth = 100 km. Courser mesh, CR refined (5 km)"
Yellowstone_Run193_run2,Runs/run193_run2,100000,23000,10,0.01,638,500,0.1,3,0,0,1,4.50455468569525,0,0.41352935647661,51.5785244664619,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Maxwell rheology. Inner eta_CR = 6.308E16 Pa*s. Outer CR eta_CR = 1.2616E16 Pa*s. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)"
Yellowstone_Run200,Runs/run200,100000,34000,10,0.005,638,500,0.1,3,0,0,1,5.88203735288696,0,0,36.4193004035585,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 5.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 3.154E16 eta_2 = 6.308E15 Pa*2. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km). Identical to run196_run2 but with UNSMOOTHED P(t)"
Yellowstone_Run200_run2,Runs/run200_run2,100000,34000,10,0.005,638,500,0.1,3,0,0,1,5.88203735288696,0,0,36.4193004035585,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 5.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 3.154E16 eta_2 = 6.308E15 Pa*2. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km). Identical to run196_run2 but with 1 yr window, 0.5 yr step smoothing"
Yellowstone_Run181_run5,Runs/run181_run5,100000,15000,10,0.01,638,500,0.1,3,0,0,1,"Refined CR (5 km). Identical to run181 otherwise, UC height = 10 km",,,,
Yellowstone_Run181_run6,Runs/run181_run6,100000,15000,10,0.01,638,500,0.1,3,0,0,1,"Refined CR (5 km). Identical to run181 otherwise, Quad basis order 1 throughout model",,,,
Yellowstone_Run181_run7,Runs/run181_run7,100000,15000,10,0.01,638,500,0.1,3,0,0,1,Source x dim = 13 km. Identical to run181_run3 otherwise,,,,
Yellowstone_Run201,Runs/run201,100000,23000,10,0.01,638,500,0.1,3,0,0,1,4.50455468569525,0,0,96.8695217943561,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Maxwell rheology. Inner eta_CR = 6.308E16 Pa*s. Outer CR eta_CR = 1.2616E16 Pa*s. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km). Identical to run193_run2 but with UNSMOOTHED P(t)"
Yellowstone_Run201_run2,Runs/run201_run2,100000,23000,10,0.01,638,500,0.1,3,0,0,1,4.50455468569525,0,0,80.6796377159972,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Maxwell rheology. Inner eta_CR = 6.308E16 Pa*s. Outer CR eta_CR = 1.2616E16 Pa*s. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km). Identical to run193_run2 but with 0.5 yr dt, 1 yr window smoothed P(t)"
